BIAS	11.863544
AL	5.375161
AK	6.413779
AZ	-1.414587
AR	-0.444318
CA	-0.891640
CO	-3.825911
CT	-1.012335
DE	-8.406221
DC	-3.605711
FL	-1.051012
GA	0.753982
HI	-7.075831
ID	-1.216577
IL	1.491797
IN	0.440296
IA	-2.317403
KS	7.024107
KY	3.845213
LA	9.804133
ME	-3.463443
MD	-5.296318
MA	-2.960861
MI	-0.688598
MN	-0.948795
MS	-0.977621
MO	-0.231587
MT	1.202501
NE	6.146763
NV	-4.440165
NH	-6.593121
NJ	-2.369058
NM	-4.271829
NY	-3.851281
NC	-0.371997
ND	0.882065
OH	0.520321
OK	3.449275
OR	-5.876670
PA	-5.384873
RI	-2.975358
SC	7.039782
SD	1.320496
TN	3.458011
TX	3.382131
UT	3.181093
VT	-0.708547
VA	-1.383156
WA	-1.772466
WV	5.175388
WI	-5.332789
WY	20.253779
VALUE	0.923182
NOPOLL	18.261338
NOOBS	18.261338
OBS	-0.006844
